Ingredient,Dish,Meal,Date,Index,Vegetarian,Vegan,Gluten-Free
tortilla,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
cage free eggs,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
cheese,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
black beans,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
seasonal vegetables,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
canola/olive oil blend,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
salt,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
wild caught alaskan salmon,Salmon with Veracruzana Sauce,dinner,2022-05-06,0,False,False,True
"veracruzana sauce (diced tomatoes, onions, parsley, tomato concentrate, golden raisins, capers, olives, garlic, canola/olive oil blend, pepper, salt)",Salmon with Veracruzana Sauce,dinner,2022-05-06,0,False,False,True
cilantro,Salmon with Veracruzana Sauce,dinner,2022-05-06,0,False,False,True
salt,Salmon with Veracruzana Sauce,dinner,2022-05-06,0,False,False,True
seasonal vegetables,Seasonal Steamed Vegetables,lunch,2022-05-05,4,False,True,True
ABF chicken (halal),Citrus Cuban Chicken,dinner,2022-05-09,0,False,False,True
seasonal vegetables,Seasonal Steamed Vegetables,dinner,2022-05-08,4,False,True,True
enriched wheat flour,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
malted barley flour,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
salt,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
sugar,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
datem,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
enzymes,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
l-cysteine,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
calcium sulfate,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
dextrose,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
yeast,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
calcium propionate,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
monoglycerides,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
diglycerides ,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
citric acid,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
cornmeal,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
soybean oil,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
palm oil,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
dehydrated garlic,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
salt,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
natural flavors,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
artificial flavors,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
citric acid,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
brown rice,Penne Pasta (Gluten-Free),dinner,2022-05-10,3,False,True,True
rice bran,Penne Pasta (Gluten-Free),dinner,2022-05-10,3,False,True,True
tofu,Jerk Tofu,dinner,2022-04-29,1,False,True,True
"jerk marinade (apple cider vinegar, alcohol free tamari, onion, jalapeno pepper, habanero pepper, canola/olive oil blend)",Jerk Tofu,dinner,2022-04-29,1,False,True,True
seasonal vegetables,Seasonal Steamed Vegetables,lunch,2022-04-30,4,False,True,True
basmati rice,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
raisins,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
cranberries,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
dates,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
canola/olive oil blend,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
cumin seed,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
onions,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
salt,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
organic lentils,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
kale,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
"super seedy crunch (sesame seeds, flaxseeds, organic quinoa, sunflower seeds, pumpkin seeds, salt)",Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
canola/olive oil blend,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
leeks,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
peppercorn,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
onion,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
"vegan cheese sauce (butternut squash, nutritional yeast, mushroom seasoning, onion powder, potato starch, garlic powder, sunflower seeds butter)",Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
celery,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
carrot,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
garlic,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
