Ingredient,Dish,Meal,Date,Index,Vegetarian,Vegan,Gluten-Free
enriched wheat flour,Waffles,breakfast,2022-08-10,6,True,False,False
sugar,Waffles,breakfast,2022-08-10,6,True,False,False
soybean oil,Waffles,breakfast,2022-08-10,6,True,False,False
leavings,Waffles,breakfast,2022-08-10,6,True,False,False
buckwheat flour,Waffles,breakfast,2022-08-10,6,True,False,False
buttermilk,Waffles,breakfast,2022-08-10,6,True,False,False
natural flavors,Waffles,breakfast,2022-08-10,6,True,False,False
artificial flavors,Waffles,breakfast,2022-08-10,6,True,False,False
wheat bran,Waffles,breakfast,2022-08-10,6,True,False,False
rice flour,Waffles,breakfast,2022-08-10,6,True,False,False
yellow corn flour,Waffles,breakfast,2022-08-10,6,True,False,False
whole oat flour,Waffles,breakfast,2022-08-10,6,True,False,False
whey,Waffles,breakfast,2022-08-10,6,True,False,False
whole egg,Waffles,breakfast,2022-08-10,6,True,False,False
salt,Waffles,breakfast,2022-08-10,6,True,False,False
dextrose,Waffles,breakfast,2022-08-10,6,True,False,False
wheat starch,Waffles,breakfast,2022-08-10,6,True,False,False
natural flavors,Waffles,breakfast,2022-08-10,6,True,False,False
artificial flavor,Waffles,breakfast,2022-08-10,6,True,False,False
malted barley flour,Waffles,breakfast,2022-08-10,6,True,False,False
pasta,Pasta Marinara,lunch,2022-09-12,9,False,True,False
marinara sauce,Pasta Marinara,lunch,2022-09-12,9,False,True,False
seasonal vegetables,Seasonal Steamed Vegetables,dinner,2022-11-18,4,False,True,True
semolina flour,Fresh Homemade Pasta,dinner,2022-10-27,12,False,True,False
chia seeds,Mango Banana Chia Pudding,breakfast,2023-01-18,1,False,True,True
rice milk,Mango Banana Chia Pudding,breakfast,2023-01-18,1,False,True,True
bananas,Mango Banana Chia Pudding,breakfast,2023-01-18,1,False,True,True
mango,Mango Banana Chia Pudding,breakfast,2023-01-18,1,False,True,True
semolina flour,Fresh Pasta,dinner,2022-07-14,10,False,True,False
couscous,Couscous with Dried Fruits,dinner,2022-09-23,14,False,True,False
onions,Couscous with Dried Fruits,dinner,2022-09-23,14,False,True,False
cranberries,Couscous with Dried Fruits,dinner,2022-09-23,14,False,True,False
pepper,Couscous with Dried Fruits,dinner,2022-09-23,14,False,True,False
golden raisins,Couscous with Dried Fruits,dinner,2022-09-23,14,False,True,False
raisins,Couscous with Dried Fruits,dinner,2022-09-23,14,False,True,False
canola olive oil,Couscous with Dried Fruits,dinner,2022-09-23,14,False,True,False
lemon juice,Couscous with Dried Fruits,dinner,2022-09-23,14,False,True,False
mints,Couscous with Dried Fruits,dinner,2022-09-23,14,False,True,False
salt,Couscous with Dried Fruits,dinner,2022-09-23,14,False,True,False
Seasonal Assortment of Fresh Vegetables,Performance Bar,lunch,2022-09-14,9,False,False,False
Salads,Performance Bar,lunch,2022-09-14,9,False,False,False
Beans,Performance Bar,lunch,2022-09-14,9,False,False,False
Whole Grains,Performance Bar,lunch,2022-09-14,9,False,False,False
Hard Boiled Eggs,Performance Bar,lunch,2022-09-14,9,False,False,False
Baked Chicken,Performance Bar,lunch,2022-09-14,9,False,False,False
Tofu,Performance Bar,lunch,2022-09-14,9,False,False,False
eggs,Scrambled Eggs,breakfast,2022-10-26,2,True,False,False
canola/olive oil blend,Scrambled Eggs,breakfast,2022-10-26,2,True,False,False
brown rice,Breakfast Fried Rice,breakfast,2022-09-27,3,True,False,False
eggs,Breakfast Fried Rice,breakfast,2022-09-27,3,True,False,False
